iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
AND,Europe,Andorra,26/05/2021,13671,7,14.571,127,0,0,176936.517,90.597,188.59,1643.694,0,0,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,77265,163.755,,,,,,109.135,7.97,29,37.8,,,83.73,0.868
MNE,Europe,Montenegro,26/05/2021,99425,67,56.286,1578,1,1.714,158304.435,106.677,89.618,2512.491,1.592,2.729,0.83,,,,,,,,,,,,,,,,,,180839,127177,53662,20762,4655,28.79,20.25,8.54,7412,,628062,46.28,39.1,14.762,9.395,16409.288,1,387.305,10.08,44,47.9,,3.861,76.88,0.829
CZE,Europe,Czechia,26/05/2021,1659433,655,574.143,30054,13,15.143,154957.119,61.164,53.613,2806.429,1.214,1.414,0.6,,,,,,,,,191451,,,17.878,188821,17.632,0.003,333.3,tests performed,4934832,3647548,1321198,101756,75955,46.08,34.06,12.34,7093,,10708982,137.176,43.3,19.027,11.58,32605.906,,227.485,6.82,30.5,38.3,,6.63,79.38,0.9
SMR,Europe,San Marino,26/05/2021,5089,0,0.286,90,0,0,149949.909,0,8.419,2651.895,0,0,0.38,,,,,,,,,,,,,,,,,,42448,21512,20936,1,342,125.08,63.39,61.69,10077,,33938,556.667,,,,56861.47,,,5.64,,,,3.8,84.97,
BHR,Asia,Bahrain,26/05/2021,226416,2803,2791.143,882,16,15.571,133061.978,1647.29,1640.321,518.341,9.403,9.151,1.24,,,,,,,,,19599,4529080,2661.686,11.518,19343,11.368,0.144,6.9,units unclear,1638092,892030,746062,16894,16960,96.27,52.42,43.85,9967,,1701583,1935.907,32.4,2.372,1.387,43290.705,,151.689,16.52,5.8,37.6,,2,77.29,0.852
SVN,Europe,Slovenia,26/05/2021,252486,388,290.429,4363,5,3.571,121449.86,186.634,139.701,2098.674,2.405,1.718,0.76,,,,,,,,,4013,1268309,610.077,1.93,3358,1.615,0.087,11.5,tests performed,1009682,645410,364272,22120,15915,48.57,31.05,17.52,7655,,2078932,102.619,44.5,19.062,12.93,31400.84,,153.493,7.25,20.1,25,,4.5,81.32,0.917
LUX,Europe,Luxembourg,26/05/2021,69669,90,38.714,812,0,0.571,111296.599,143.775,61.846,1297.174,0,0.913,0.65,,,,,,,,,9699,2869686,4584.339,15.494,8861,14.155,0.004,228.9,tests performed,,,,,3298,,,,5269,,625976,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26,,4.51,82.25,0.916
MDV,Asia,Maldives,26/05/2021,59644,1299,1576.571,147,3,5,110341.102,2403.144,2916.649,271.949,5.55,9.25,1.15,,,,,,,,,5186,858778,1588.735,9.594,5792,10.715,0.272,3.7,samples tested,470836,308423,162413,1455,2128,87.1,57.06,30.05,3937,,540542,1454.433,30.6,4.12,2.875,15183.616,,164.905,9.19,2.1,55,95.803,,78.92,0.74
SYC,Africa,Seychelles,26/05/2021,10740,0,139.429,38,0,0.429,109212.935,0,1417.822,386.414,0,4.358,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,98340,208.354,36.2,8.606,5.586,26382.287,1.1,242.648,10.55,7.1,35.7,,3.6,73.4,0.796
SWE,Europe,Sweden,26/05/2021,1067107,2732,2192.143,14436,40,12.429,105661.795,270.515,217.06,1429.41,3.961,1.231,0.69,,,,,,,,,,,,,,,,,,4821805,3588871,1232934,52701,49275,47.74,35.54,12.21,4879,,10099270,24.718,41,19.985,13.433,46949.283,0.5,133.982,4.79,18.8,18.9,,2.22,82.8,0.945
SRB,Europe,Serbia,26/05/2021,711116,387,398.286,6811,10,12.286,104505.249,56.873,58.532,1000.941,1.47,1.806,0.59,,,,,,,,,10345,4107942,603.701,1.52,9496,1.396,0.042,23.8,people tested,,,,,30241,,,,4444,,6804596,80.291,41.2,17.366,,14048.881,,439.415,10.08,37.7,40.2,97.719,5.609,76,0.806
USA,North America,United States of America,26/05/2021,33190470,24052,23406.571,591950,1009,570.714,100272.521,72.664,70.714,1788.354,3.048,1.724,0.82,,,,,,,,,,,,,,,,,,289212304,165074907,131850089,1423432,1703162,86.48,49.36,39.42,5093,,331002647,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,78.86,0.926
